2024-02-29 16:45:56,831 INFO    Thread-449:22668 [wandb_setup.py:_flush():76] Configure stats pid to 22668
2024-02-29 16:45:56,832 INFO    Thread-449:22668 [wandb_setup.py:_flush():76] Loading settings from C:\Users\glebk\.config\wandb\settings
2024-02-29 16:45:56,832 INFO    Thread-449:22668 [wandb_setup.py:_flush():76] Loading settings from D:\Study\BP\wandb\settings
2024-02-29 16:45:56,832 INFO    Thread-449:22668 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'sweeps-hyperparameter-tuning-in-privacy-preserving-machine-learning', 'entity': 'dpnerds', 'root_dir': 'D:\\Study\\BP', 'run_id': 'e3tlltci', 'sweep_param_path': 'D:\\Study\\BP\\wandb\\sweep-gxzysihq\\config-e3tlltci.yaml', 'sweep_id': 'gxzysihq'}
2024-02-29 16:45:56,832 INFO    Thread-449:22668 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-29 16:45:56,832 INFO    Thread-449:22668 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts\\sweep_training.py', 'program': 'D:\\Study\\BP\\scripts\\sweep_training.py'}
2024-02-29 16:45:56,832 INFO    Thread-449:22668 [wandb_init.py:_log_setup():506] Logging user logs to D:\Study\BP\wandb\run-20240229_164556-e3tlltci\logs\debug.log
2024-02-29 16:45:56,832 INFO    Thread-449:22668 [wandb_init.py:_log_setup():507] Logging internal logs to D:\Study\BP\wandb\run-20240229_164556-e3tlltci\logs\debug-internal.log
2024-02-29 16:45:56,832 INFO    Thread-449:22668 [wandb_init.py:init():546] calling init triggers
2024-02-29 16:45:56,833 INFO    Thread-449:22668 [wandb_init.py:init():552] wandb.init called with sweep_config: {'batch_size': 15, 'epochs': 6, 'l2_norm_clip': 5, 'learning_rate': 5e-05, 'noise_multiplier': 5}
config: {'learning_rate': 1e-05, 'dataset': 'heart_2022_no_nans', 'epochs': 6}
2024-02-29 16:45:56,833 INFO    Thread-449:22668 [wandb_init.py:init():602] starting backend
2024-02-29 16:45:56,833 INFO    Thread-449:22668 [wandb_init.py:init():606] setting up manager
2024-02-29 16:45:56,838 INFO    Thread-449:22668 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2024-02-29 16:45:56,845 INFO    Thread-449:22668 [wandb_init.py:init():613] backend started and connected
2024-02-29 16:45:56,850 INFO    Thread-449:22668 [wandb_run.py:_config_callback():1251] config_cb None None {'batch_size': 15, 'epochs': 6, 'l2_norm_clip': 5, 'learning_rate': 5e-05, 'noise_multiplier': 5}
2024-02-29 16:45:56,851 INFO    Thread-449:22668 [wandb_init.py:init():701] updated telemetry
2024-02-29 16:45:56,886 INFO    Thread-449:22668 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2024-02-29 16:45:57,324 INFO    Thread-449:22668 [wandb_run.py:_on_init():2133] communicating current version
2024-02-29 16:45:57,372 INFO    Thread-449:22668 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-29 16:45:57,372 INFO    Thread-449:22668 [wandb_init.py:init():789] starting run threads in backend
2024-02-29 16:45:57,511 INFO    Thread-449:22668 [wandb_run.py:_console_start():2114] atexit reg
2024-02-29 16:45:57,511 INFO    Thread-449:22668 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2024-02-29 16:45:57,512 INFO    Thread-449:22668 [wandb_run.py:_redirect():2034] Wrapping output streams.
2024-02-29 16:45:57,512 INFO    Thread-449:22668 [wandb_run.py:_redirect():2059] Redirects installed.
2024-02-29 16:45:57,512 INFO    Thread-449:22668 [wandb_init.py:init():831] run started, returning control to user process
2024-02-29 16:47:22,347 INFO    Thread-449:22668 [wandb_run.py:_finish():1854] finishing run dpnerds/sweeps-hyperparameter-tuning-in-privacy-preserving-machine-learning/e3tlltci
2024-02-29 16:47:22,348 INFO    Thread-449:22668 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2024-02-29 16:47:22,348 INFO    Thread-449:22668 [wandb_run.py:_restore():2066] restore
2024-02-29 16:47:22,348 INFO    Thread-449:22668 [wandb_run.py:_restore():2072] restore done
2024-02-29 16:47:27,877 INFO    Thread-449:22668 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2024-02-29 16:47:27,877 INFO    Thread-449:22668 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2024-02-29 16:47:27,881 INFO    Thread-449:22668 [wandb_run.py:_footer_sync_info():3380] logging synced files
